code,slug,title,category,category_code,teer,teer_desc,median_pay_annual,median_pay_hourly,low_pay_hourly,high_pay_hourly
00010,legislators,Legislators,Legislative and senior management occupations,0,0,Management,84000,40.38,15.8,88.46
00011,senior-government-managers-and-officials,Senior government managers and officials,Legislative and senior management occupations,0,0,Management,135990,65.38,40.0,105.77
00012,senior-managers-financial-communications-and-other-business-services,"Senior managers - financial, communications and other business services",Legislative and senior management occupations,0,0,Management,199992,96.15,51.28,153.85
00013,senior-managers-health-education-social-and-community-services-and-membership-or,"Senior managers - health, education, social and community services and membership organizations",Legislative and senior management occupations,0,0,Management,,,,
00014,senior-managers-trade-broadcasting-and-other-services,"Senior managers - trade, broadcasting and other services",Legislative and senior management occupations,0,0,Management,88150,42.38,24.0,98.88
00015,senior-managers-construction-transportation-production-and-utilities,"Senior managers - construction, transportation, production and utilities",Legislative and senior management occupations,0,0,Management,95763,46.04,24.5,96.68
10010,financial-managers,Financial managers,"Business, finance and administration occupations",1,0,Management,123718,59.48,38.5,91.76
10011,human-resources-managers,Human resources managers,"Business, finance and administration occupations",1,0,Management,119995,57.69,37.94,87.18
10012,purchasing-managers,Purchasing managers,"Business, finance and administration occupations",1,0,Management,116708,56.11,39.34,86.54
10019,other-administrative-services-managers,Other administrative services managers,"Business, finance and administration occupations",1,0,Management,104000,50.0,29.88,85.16
10020,insurance-real-estate-and-financial-brokerage-managers,"Insurance, real estate and financial brokerage managers","Business, finance and administration occupations",1,0,Management,123198,59.23,39.62,105.77
10021,banking-credit-and-other-investment-managers,"Banking, credit and other investment managers","Business, finance and administration occupations",1,0,Management,118851,57.14,37.44,91.35
10022,advertising-marketing-and-public-relations-managers,"Advertising, marketing and public relations managers","Business, finance and administration occupations",1,0,Management,115003,55.29,34.62,89.74
10029,other-business-services-managers,Other business services managers,"Business, finance and administration occupations",1,0,Management,102398,49.23,30.65,86.06
